Authority,associatedReferences,Source Type,Source,Version,Reference Author,Title,Publication Name,Listed Publication Date,Publisher,Publication Place,ISBN,ISSN,Pages,Publication Remarks
Aalbu et al. (2009),https://doi.org/10.3956/2008-24.1,Article,The Pan-Pacific Entomologist,"v. 85, No. 2","Aalbu, Rolf L., Kojun Kanda, and Warren E. Steiner, Jr.",Opatroides punctulatus Brulle´ now established in California (Coleoptera: Tenebrionidae),The Pan-Pacific Entomologist,2009-01-01,Pacific Coast Entomological Society,,,,38-42,
Abbate et al. (2018),https://journals.flvc.org/flaent/article/view/105734/102512,Article,The Florida Entomologist,"v. 101, No. 3","Abbate, Anthony, Joshua Campbell, Jon Bremer, and William H. Kern, Jr.",The introduction and establishment of Campsomeris dorsata (Hymenoptera: Scoliidae) in Florida,Florida Entomologist,2018-09-01,Florida Entomological Society,,,,543-545,
Adamski et al. (2009),https://doi.org/10.4289/0013-8797-111.1.204,Article,Proceedings of the Entomological Society of Washington,"v. 111, No. 1","Adamski, David, Gary F. Hevel, and Alan Pultyniewicz","Redescription and Immature Stages of Promalactis suzukiella (Matsumura) (Gelechioidea: Oecophoridae), A New Introduction into the United States",Proceedings of the Entomological Society of Washington,2009-01-01,Entomological Society of Washington,"Washington, DC",,,204-214,
Aguon and Conant (1994),https://sora.unm.edu/sites/default/files/journals/wilson/v106n02/p0311-p0328.pdf,Article,The Wilson Bulletin,"v. 106, No. 2","Aguon, Celestino F., and Sheila Conant","Breeding Biology of the White-rumped Shama on Oahu, Hawaii",The Wilson Bulletin,1994-06-01,Wilson Ornithological Society,,,,311-328,
Ahlborn (1990),https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=1691,Factsheet,California Department of Fish and Wildlife,B132,"Ahlborn, G.",Chukar (Alectoris chukar),Chukar (Alectoris chukar),1990-01-01,California Interagency Wildlife Task Group,"Sacramento, California",,,2,
Ahmed and Miller (2018),https://www.fdacs.gov/content/download/79840/file/Pest_Alert_-_Fiorinia_phantasma.pdf,Pest Advisory Alert,Florida Department of Agriculture and Consumer Services,2018,"Ahmed, Muhammad Z., and Douglass R. Miller","First U.S. Continental Record of Fiorinia phantasma Cockerell & Robinson (Hemiptera: Diaspididae), Phantasma Scale, Potential Pest of Palms and Ornamentals Plants",Pest Alert - Florida Department of Agriculture and Consumer Services Division of Plant Industry,2018-04-01,Florida Department of Agriculture and Consumer Services,"Gainesville, Florida",,,,
Ahmed et al. (2021),https://doi.org/10.3897/zookeys.1065.69171,Article,Pensoft,1065,"Ahmed, Muhammad Z., Matthew R. Moore, Eric A. Rohrig, Cindy L. McKenzie, Di Liu, Jinian Feng, Benjamin B. Normark, Douglass R. Miller","Taxonomic and identification review of adventive Fiorinia Targioni Tozzetti (Hemiptera, Coccomorpha, Diaspididae) of the United States",ZooKeys,2021-10-27,Pensoft,"Sofia, Bulgaria",,1313-2970,141-203,
Alameda County Department of Environmental Health (2016),https://acvcsd.org/wp-content/uploads/2016/07/Other_Cockroach.pdf,Factsheet,Alameda County Department of Environmental Health,Undefined,Alameda County Department of Environmental Health,A Guide to Other Cockroaches,Vector Control,2016-01-01,Alameda County Department of Environmental Health,"Alameda, California",,,2 p,
Alaska Exotic Plants Information Clearinghouse (AKEPIC) (2021),https://accs.uaa.alaska.edu/invasive-species/non-native-plant-species-list,Database,Alaska Exotic Plants Information Clearinghouse (AKEPIC),2021,Alaska Exotic Plants Information Clearinghouse (AKEPIC),Non-Native Plant Species List,Non-Native Plant Species List,2021-01-01,University of Alaska Anchorage,"Anchorage, Alaska",,,,
Alexander and Walker (1962),https://orthsoc.org/sina/s464la62.pdf,Article,Annals of the Entomological Society of America,"v. 55, No. 1","Alexander, Richard D., and Thomas J. Walker",Two introduced field crickets new to eastern United States (Orthoptera: Gryllidae),Annals of the Entomological Society of America,1962-01-01,Annals of the Entomological Society of America,,,,90-94,
