Field Name or Abbreviation,Definition,Data Type,Examples or controlled vocabulary (CV),Comment
locality,"Abbreviation for the geographic area in question: Alaska, Hawaii, or remaining conterminous 48 states.",text,Controlled vocabulary: AK: Alaska; HI: Hawaii; L48: Conterminous 48 United States,Required on MasterList. From Darwin Core. Formerly called Region.
scientificName,"The accepted binomial, trinomial, or quadrinomial Latin name as it appears in ITIS or GBIF or other name authority. All names are species rank or below.",text,Aira caryophyllea var. caryophyllea; Banana bunchy top virus; Festuca rubra ssp. fallax; Mentha X piperita,"Required on MasterList. From Darwin Core, but no name authorship is included. Note that hybrid names use the capital letter X (not the times symbol) and subspecies is abbreviated ssp. (not subsp.)."
scientificNameAuthorship,The authorship information for the scientificName formatted according to the conventions of the applicable nomenclaturalCode. Note this value is especially important where a name is ambiguous.,text,"(Beer, 1954); Fain 1973","Optional on MasterList. Compatible with DwC. New field, not in this dataset's predecessor."
vernacularName,"Common name, generally in English, for the taxon. Not uniquely assigned and may be misleading, i.e. ""Argid sawfly"" is a wasp, not a fly. The first letter of the first word and any proper names are capitalized.",text,Abutilon; bristlegrass; European pine shooter; Costa Rica night blooming cactus,"Required on MasterList. From Darwin Core. In this dataset's predecessor, this field was called ""Common Name"". Derived in one of many ways: provided by the Authority; suggested by expert reviewer; chosen from an internet search; or, a generic description of the taxonomic group (generally genus or family level)."
taxonRank,The relative level of the taxon within its taxonomic hierarchy.,text,Controlled vocabulary: Species; Subspecies; Variety; Clone; Form; Hybrid,"Required on MasterList. From Darwin Core. New field, not in this dataset's predecessor."
Introduced or Invasive,"Descriptor of whether the established taxon is invasive (causing or potentially causing harm), or simply introduced to the region. If impact or potential impact is not described, is disputed, or is undiscovered, default value is ""Introduced.""",text,"Controlled vocabulary: Introduced: Established and non-native (nonindigenous, exotic, alien) with its negative impact in the locality negligible, uncalculated, or unknown; Invasive: Established in and non-native (introduced, nonindigenous, exotic, alien) to the locality and causing, or likely to cause, harm.","Required on MasterList. Currently 2 terms in use. Previously, more than 11 terms have been used in this field. Value is generally derived from the authority, but may also be designated during expert review, or be based on internet search for impact(s) of the species in the locality."
Biocontrol,Indication of whether the taxon was purposely introduced to control a pest species.,text,Controlled vocabulary: Yes; [blank],Optional on MasterList.
associatedTaxa,The name of the target taxon(taxa) for biocontrol. Field formerly called Target Species. Has value only if Biocontrol=Yes.,text,Arundo donax; Insecta; Culicidae; Opuntia,Optional on MasterList. From Darwin Core. Not a controlled vocabulary. Formerly called Target Species.
Approximate Introduction Date,Text descriptor of approximate date of introduction of the taxon to the area. May include separate authority reference if cited Authority does not contain this information.,text,1954; >1951 (Reynolds (2018)); ~400; prior to 1780,Optional on MasterList. Occasionally derived from date of publication of the Authority.
IntroDateNumber,Consists of a 3 or 4 digit year value that is either the exact or the approximate year of introduction of the taxon to the locality.,year,1954; 1952; 400; 1775,"Required on MasterList only if Approximate Introduction Date has a value. If a derived value is required, these rules are followed: Remove approximation symbol (~) to get exact year. When date range is provided, choose the middle year, rounding up. E.g. 1990s = 1995, 18th century = 1750, 1968-1971 = 1970, 2000s = 2005. When ""before"", ""prior to"", or a lesser than symbol are used, subtract 5 years. When ""late"" or ""early"" are used, use the 1/5th mark, e.g., late 1800s = 1880, early 1960s = 1962. Also see our data management plan for explanation of how these numbers are calculated."
