gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
1698565173		http://vertnet.org/resources/norms.html																								pbdb:occ:558775									en	CC_BY_NC_4_0			2017-10-28T00:00:00Z		Paleobiology Database													Text			58039		PBDB	58039	Paleobiology Database		FOSSIL_SPECIMEN				pbdb:occ:558775			Brown												requires verification	PRESENT	leaf			R. W. Brown. 1962. Paleocene flora of the Rocky Mountains and Great Plains. United States Geological Survey Professional Paper 375:1-119				Specimens were collected by R. W. Brown, J. Murata on July 10, 1931					Ampelopsis acerifolia															taxonomic; selective quarrying,mechanical,field collection								| US | South Dakota |  |  |  |  |	NORTH_AMERICA				US	South Dakota				US | South Dakota								45.916668	-101.550003		0.0166667											based on political unit										Paleocene				stratigraphic comments:Upper part of Lower Lance, shale lies between two thin lignite seams. | lithostratigraphic description:Shale lies between two thin lignite seams | lithology1:"shale"		Fort Union													55497		8506349					55497	Ampelopsis acerifolia Brown, 1962						1962	Spermatophyta | Magnoliopsida | Rhamnales | Vitaceae | Ampelopsis	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae		Ampelopsis	Ampelopsis			acerifolia			SPECIES	species		ICBN	ACCEPTED			bb5b30b4-827e-4d5e-a86a-825d65cb6583	US	2022-01-30T13:38:02.305Z							INSTITUTION_MATCH_NONE		true	false	8506349	8506349	6	7707728	220	7222050	6672	3039178		8506349	Ampelopsis acerifolia	Ampelopsis acerifolia Brown, 1962	Ampelopsis acerifolia Brown 1962		DWC_ARCHIVE	2022-01-30T13:38:02.305Z	2021-11-22T22:48:13.629Z	false		USA	United States	USA.42_1	South Dakota	USA.42.15_1	Corson			NE
1699228565		http://vertnet.org/resources/norms.html																								pbdb:occ:1358654									en	CC_BY_NC_4_0			2017-10-30T00:00:00Z		Paleobiology Database													Text			184621		PBDB	184621	Paleobiology Database		FOSSIL_SPECIMEN			{"protected":"FED" }	pbdb:occ:1358654			Staatz and Albee												requires verification	PRESENT				M. H. Staatz and H. F. Albee. 1966. Geology of the Garns Mountain Quadrangle Bonneville, Madison, and Teton Counties, Idaho. United States Geological Survey Bulletin (1205)									Tempskya sp. | Tempskya Corda 1845															biostratigraphic								| US | Idaho | Bonneville, Madison, Teton |  |  |  |	NORTH_AMERICA				US	Idaho	Bonneville, Madison, Teton		Garns Mountain Quadrangle. The fossils were collected near the base of the Aspen on the ridge top in the SE1/4 SW1/4 sec. 19, T. 5 N., R. 44 E.	US | Idaho | Bonneville, Madison, Teton								43.663055	-111.332779		2.778E-4																					Albian				lithology1:"shale" | lithification1:lithified		Aspen Shale					sp.								207953		4888279					207953	Tempskya Corda, 1845						1966	Pteridophyta | Pteridopsida |  | Tempskyaceae | Tempskya	Plantae	Tracheophyta	Polypodiopsida	Schizaeales	Tempskyaceae		Tempskya	Tempskya						GENUS	genus		ICBN	ACCEPTED			bb5b30b4-827e-4d5e-a86a-825d65cb6583	US	2022-01-30T13:39:22.451Z							INSTITUTION_MATCH_NONE		true	false	4888279	4888279	6	7707728	7228684	7229401	4892894	4888279				Tempskya Corda, 1845	Tempskya Corda 1845		DWC_ARCHIVE	2022-01-30T13:39:22.451Z	2021-11-22T22:48:13.629Z	false		USA	United States	USA.13_1	Idaho	USA.13.41_1	Teton			
1699243919		http://vertnet.org/resources/norms.html																								pbdb:occ:910360									en	CC_BY_NC_4_0			2017-10-30T00:00:00Z		Paleobiology Database													Text			102758		PBDB	102758	Paleobiology Database		FOSSIL_SPECIMEN			{"sampleSizeValue":"2", "sampleSizeUnit":"specimens", "protected":"FED" }	pbdb:occ:910360			Peppe et al.												requires verification	PRESENT	leaf			D. J. Peppe, L. J. Hickey, and I. M. Miller, W. A. Green. 2008. A morphotype catalogue, floristic analysis and stratigraphic description of the Aspen Shale flora Cretaceous–Albian) of Southwestern Wyoming. Bulletin of the Peabody Museum of Natural History 49(2):181-208									Prunus aspensis | Prunus Linnaeus 1753															paleoecologic								| US | WYOMING |  |  |  |  |	NORTH_AMERICA				US	Wyoming				US | Wyoming								42.080002	-110.160004		0.01											stated in text										Albian				lithostratigraphic description:Light yellow-grey siltstone, massive, blocky weathering, tuffaceous. Has parallel and low-angle cross-lamination in the basal 40 cm. A 20-cm bed of light grey, tuffaceous siltstone, with vertical rhizomorphs occurs 0.8 m abo		Aspen Shale													157342		3020559					157342	Prunus L.						2008	Spermatophyta | Magnoliopsida | Rosales | Rosaceae | Prunus	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae		Prunus	Prunus						GENUS	species	plum	ICBN	ACCEPTED			bb5b30b4-827e-4d5e-a86a-825d65cb6583	US	2022-01-30T13:39:22.958Z							INSTITUTION_MATCH_NONE		true	false	3020559	3020559	6	7707728	220	691	5015	3020559				Prunus L.	Prunus Linnaeus 1753		DWC_ARCHIVE	2022-01-30T13:39:22.958Z	2021-11-22T22:48:13.629Z	false		USA	United States	USA.51_1	Wyoming	USA.51.12_1	Lincoln			NE
1698691146		http://vertnet.org/resources/norms.html																								pbdb:occ:686859									en	CC_BY_NC_4_0			2017-10-28T00:00:00Z		Paleobiology Database													Text			73891		PBDB	73891	Paleobiology Database		FOSSIL_SPECIMEN			{"geogscale":"small collection", "protected":"FED" }	pbdb:occ:686859			Tweet et al. | Stephenson												requires verification	PRESENT				N. L. Murphy, D. Trexler, and M. Thompson. 2007. "Leonardo," a mummified Brachylophosaurus (Ornithischia: Hadrosauridae) from the Judith River Formation of Montana.  In K. Carpenter (ed.), Horns and Beaks: Ceratopsian and Ornithopod Dinosaurs									Biretisporites deltoideus | Biretisporites Delcourt et al. 1963													2000		paleoecologic; selective quarrying,surface (in situ),mechanical,field collection								| US | Montana | Phillips |  |  |  |	NORTH_AMERICA				US	Montana	Phillips		locality given as "northern Phillips County", 25-30 km N of Malta, estimated from map in Tweet et al. 2009	US | Montana | Phillips								48.596294	-107.895042		1.0E-6											estimated from map										Middle Campanian	Late Campanian			stratigraphic scale:bed | stratigraphic comments:middle of formation, in fluvial section of formation | lithostratigraphic description:"within a partially exposed sandstone lens...there are poorly defined crossbeds and discontinuities...The sandstone...co	Montana	Judith River	McClelland Ferry												252550		4899855					252550	Biretisporites A.Delcourt & G.Sprumont, 1955						2007	Pteridophyta | Pteridopsida | Schizaeales | Schizaeaceae | Biretisporites	Plantae	Tracheophyta	Polypodiopsida	Schizaeales	Schizaeaceae		Biretisporites	Biretisporites						GENUS	species		ICBN	ACCEPTED			bb5b30b4-827e-4d5e-a86a-825d65cb6583	US	2022-01-30T13:38:07.530Z							INSTITUTION_MATCH_NONE		true	false	4899855	4899855	6	7707728	7228684	7229401	2366	4899855				Biretisporites A.Delcourt & G.Sprumont, 1955	Biretisporites Delcourt et al. 1963		DWC_ARCHIVE	2022-01-30T13:38:07.530Z	2021-11-22T22:48:13.629Z	false		USA	United States	USA.27_1	Montana	USA.27.36_1	Phillips			
1698052989		http://vertnet.org/resources/norms.html																								pbdb:occ:130870									en	CC_BY_NC_4_0			2017-10-27T00:00:00Z		Paleobiology Database													Text			10785		PBDB	10785	Paleobiology Database		FOSSIL_SPECIMEN			{"geogscale":"small collection" }	pbdb:occ:130870			Peppers												requires verification	PRESENT	microspore			R. A. Peppers. 1997. Palynology of the Lost Branch Formation of Kansas--new insights on the major floral transition at the Middle-Upper Pennsylvanian boundary. Review of Palaeobotany and Palynology 98:223-246									Botryococcus sp. | Botryococcus Kutzing 1849															paleoecologic; bulk,chemical,field collection								| US | Kansas | Labette |  |  |  |	NORTH_AMERICA				US	Kansas	Labette		Same outcrop as PBD collection #109 "Stream bank by Mound Valley (Alroy marine invert/vert collection), which is also Heckel's (1991) outcrop 19. Stratotype of Lost Branch Formation and upper memorial Shale proposed by Heckel (1991). Outcrop is about 80 km SW of the town Mound Valley, Labette County. It extends from the bank of Pumpkin Creek along the east line of SW1/4 SW1/4 NE1/4, sec. 10 T.33S., R.18E. and the gully in NW1/4 SW1/4 NE1/4 NE1/4, sec. 10, to the NW bank of Lost Branch Creek near the center of NE1/4 NE1/4 Ne1/4, sec.10.	US | Kansas | Labette								37.200001	-95.416664		0.0166667											based on nearby landmark										Desmoinesian				stratigraphic scale:bed | local section:Lost Branch Section | local order:bottom to top | lithology1:"shale" | lithadj1:gray | fossilsfrom1:Y		Lost Branch		localbed:upper gray shale bed			sp.								264632		2642015					264632	Botryococcus Kützing, 1849						1997	Chlorophyta | Chlorophyceae |  |  | Botryococcus	Plantae	Chlorophyta	Trebouxiophyceae	Trebouxiales	Botryococcaceae		Botryococcus	Botryococcus						GENUS	genus		ICBN	ACCEPTED			bb5b30b4-827e-4d5e-a86a-825d65cb6583	US	2022-01-30T13:38:49.766Z							INSTITUTION_MATCH_NONE		true	false	2642015	2642015	6	36	332	8228499	2034	2642015				Botryococcus Kützing, 1849	Botryococcus Kutzing 1849		DWC_ARCHIVE	2022-01-30T13:38:49.766Z	2021-11-22T22:48:13.629Z	false		USA	United States	USA.17_1	Kansas	USA.17.50_1	Labette			
1698055779		http://vertnet.org/resources/norms.html																								pbdb:occ:133386									en	CC_BY_NC_4_0			2017-10-27T00:00:00Z		Paleobiology Database													Text			11167		PBDB	11167	Paleobiology Database		FOSSIL_SPECIMEN			{"geogscale":"small collection", "protected":"FED" }	pbdb:occ:133386			White												requires verification	PRESENT	unassigned			D. White. 1912. The characters of the fossil plant Gigantopteris Schenk and its occurrence in North America. Proceedings of the United States National Museum 41:493-516				This collection was studied by Lesquereux, and is thought to be higher in section than Fairplay2					Pecopteris feminaeformis | Pecopteris Brongniart 1822															taxonomic; some macrofossils,some microfossils; field collection								| US | COLORADO |  |  |  |  |	NORTH_AMERICA				US	Colorado			"Plants were located by myself in buff and dark Carbonaceous shales nearly 4 miles southwest of Fairplay the locality and horizon being not far, as subsequently ascertained, from the plant bed discovered by Professor Arthur Lakes.	US | Colorado								39.216667	-106.0		2.778E-4											based on nearby landmark										Permian	Triassic			stratigraphic comments:Early/Lower call based on correlation to Rothleigende. There is mention of Triassic insects from this horizon in the paper, hence the youngest call is listed as Triassic.															157283		8640597					157283	Pecopteris Brongniart, 1822						1912	|  |  |  | Pecopteris	Plantae	Tracheophyta					Pecopteris	Pecopteris						GENUS	species		ICBN	DOUBTFUL			bb5b30b4-827e-4d5e-a86a-825d65cb6583	US	2022-01-30T13:38:49.891Z							INSTITUTION_MATCH_NONE		true	false	8640597	8640597	6	7707728				8640597				Pecopteris Brongniart, 1822	Pecopteris Brongniart 1822		DWC_ARCHIVE	2022-01-30T13:38:49.891Z	2021-11-22T22:48:13.629Z	false		USA	United States	USA.6_1	Colorado	USA.6.48_1	Park			
1698058398		http://vertnet.org/resources/norms.html																								pbdb:occ:135734									en	CC_BY_NC_4_0			2017-10-27T00:00:00Z		Paleobiology Database													Text			11337		PBDB	11337	Paleobiology Database		FOSSIL_SPECIMEN			{"geogscale":"small collection", "protected":"FED" }	pbdb:occ:135734			Wing et al.												requires verification	PRESENT	leaf			S. L. Wing, J. Alroy, and LJ Hickey. 1995. Plant and mammal diversity in the Paleocene to Early Eocene of the Bighorn Basin. Palaeogeography, Palaeoclimatology, Palaeoecology  115:117-155									Platanus raynoldsii															biostratigraphic; all microfossils; selective quarrying,field collection								| US | WYOMING |  |  |  |  |	NORTH_AMERICA				US	Wyoming				US | Wyoming								44.292278	-108.050812		1.0E-5																					Graybullian				stratigraphic scale:bed | regional section:Bighorn Basin | lithology1:siltstone | lithadj1:current ripples | lithification1:lithified | fossilsfrom1:Y | lithology2:sandstone | fossilsfrom2:Y		Willwood													56209		4982251					56209	Platanus raynoldsii Newberry						1995	|  |  |  |	Plantae	Tracheophyta	Magnoliopsida	Proteales	Platanaceae		Platanus	Platanus			raynoldsii			SPECIES	species			ACCEPTED			bb5b30b4-827e-4d5e-a86a-825d65cb6583	US	2022-01-30T13:37:43.586Z							INSTITUTION_MATCH_NONE		true	false	4982251	4982251	6	7707728	220	400	6693	3152811		4982251	Platanus raynoldsii	Platanus raynoldsii Newberry	Platanus raynoldsii Newberry		DWC_ARCHIVE	2022-01-30T13:37:43.586Z	2021-11-22T22:48:13.629Z	false		USA	United States	USA.51_1	Wyoming	USA.51.2_1	Big Horn			NE
1698058497		http://vertnet.org/resources/norms.html																								pbdb:occ:135827									en	CC_BY_NC_4_0			2017-10-27T00:00:00Z		Paleobiology Database													Text			11345		PBDB	11345	Paleobiology Database		FOSSIL_SPECIMEN			{"sampleSizeValue":"3", "sampleSizeUnit":"specimens", "geogscale":"small collection", "protected":"FED" }	pbdb:occ:135827			Wing et al.												requires verification	PRESENT	leaf			S. L. Wing, J. Alroy, and LJ Hickey. 1995. Plant and mammal diversity in the Paleocene to Early Eocene of the Bighorn Basin. Palaeogeography, Palaeoclimatology, Palaeoecology  115:117-155									Dicotyledonae informal dicot XI | Dicotyledonae															biostratigraphic; all microfossils; selective quarrying,field collection								| US | WYOMING |  |  |  |  |	NORTH_AMERICA				US	Wyoming				US | Wyoming								44.174599	-108.557701		1.0E-4											unpublished field data										Lostcabinian				stratigraphic scale:bed | regional section:Bighorn Basin | lithology1:"shale" | lithification1:lithified | minor_lithology1:carbonaceous | fossilsfrom1:Y		Willwood					informal								54888		220					55217	Magnoliopsida						1995	Spermatophyta | Magnoliopsida |  |  |	Plantae	Tracheophyta	Magnoliopsida					Magnoliopsida						CLASS	class		ICBN	ACCEPTED			bb5b30b4-827e-4d5e-a86a-825d65cb6583	US	2022-01-30T13:37:43.594Z							INSTITUTION_MATCH_NONE		true	false	220	220	6	7707728	220							Magnoliopsida	Magnoliopsida		DWC_ARCHIVE	2022-01-30T13:37:43.594Z	2021-11-22T22:48:13.629Z	false		USA	United States	USA.51_1	Wyoming	USA.51.2_1	Big Horn			
1698058587		http://vertnet.org/resources/norms.html																								pbdb:occ:135889									en	CC_BY_NC_4_0			2017-10-27T00:00:00Z		Paleobiology Database													Text			11351		PBDB	11351	Paleobiology Database		FOSSIL_SPECIMEN			{"geogscale":"small collection" }	pbdb:occ:135889			Wing et al.												requires verification	PRESENT	leaf			S. L. Wing, J. Alroy, and LJ Hickey. 1995. Plant and mammal diversity in the Paleocene to Early Eocene of the Bighorn Basin. Palaeogeography, Palaeoclimatology, Palaeoecology  115:117-155									Dicotyledonae informal LJH n.sp.XXX | Dicotyledonae															biostratigraphic; all microfossils; selective quarrying,field collection								| US | WYOMING |  |  |  |  |	NORTH_AMERICA				US	Wyoming				US | Wyoming								45.0	-109.0		1.0																					Torrejonian				stratigraphic scale:bed | regional section:Bighorn Basin | lithology1:"shale" | lithification1:lithified | minor_lithology1:carbonaceous | fossilsfrom1:Y		Fort Union					sp.								54888		220					55217	Magnoliopsida						1995	Spermatophyta | Magnoliopsida |  |  |	Plantae	Tracheophyta	Magnoliopsida					Magnoliopsida						CLASS	class		ICBN	ACCEPTED			bb5b30b4-827e-4d5e-a86a-825d65cb6583	US	2022-01-30T13:38:50.037Z							INSTITUTION_MATCH_NONE		true	false	220	220	6	7707728	220							Magnoliopsida	Magnoliopsida		DWC_ARCHIVE	2022-01-30T13:38:50.037Z	2021-11-22T22:48:13.629Z	false		USA	United States	USA.51_1	Wyoming	USA.51.15_1	Park			
1698058695		http://vertnet.org/resources/norms.html																								pbdb:occ:135936									en	CC_BY_NC_4_0			2017-10-27T00:00:00Z		Paleobiology Database													Text			11355		PBDB	11355	Paleobiology Database		FOSSIL_SPECIMEN			{"geogscale":"small collection" }	pbdb:occ:135936			Wing et al.												requires verification	PRESENT	leaf			S. L. Wing, J. Alroy, and LJ Hickey. 1995. Plant and mammal diversity in the Paleocene to Early Eocene of the Bighorn Basin. Palaeogeography, Palaeoclimatology, Palaeoecology  115:117-155									Persites argutus															biostratigraphic; all microfossils; selective quarrying,field collection								| US | WYOMING |  |  |  |  |	NORTH_AMERICA				US	Wyoming				US | Wyoming								45.0	-109.0		1.0																					Clarkforkian				stratigraphic scale:bed | regional section:Bighorn Basin | lithology1:siltstone | fossilsfrom1:Y | lithology2:sandstone | fossilsfrom2:Y		Fort Union													55307		8168936					55307	Persites argutus Hickey, 1977						1995	Spermatophyta | Magnoliopsida | Magnoliales | Lauraceae | Persites	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae		Persites	Persites			argutus			SPECIES	species		ICBN	ACCEPTED			bb5b30b4-827e-4d5e-a86a-825d65cb6583	US	2022-01-30T13:37:43.604Z							INSTITUTION_MATCH_NONE		true	false	8168936	8168936	6	7707728	220	407	6688	3234687		8168936	Persites argutus	Persites argutus Hickey, 1977	Persites argutus Hickey 1977		DWC_ARCHIVE	2022-01-30T13:37:43.604Z	2021-11-22T22:48:13.629Z	false		USA	United States	USA.51_1	Wyoming	USA.51.15_1	Park			NE
